name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S1_Male_sentence_06.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_06.wav	0.005	0.01	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_06.wav	0.01	0.015	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_06.wav	0.015	0.02	--undefined--	-200	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_06.wav	0.02	0.025	--undefined--	-200	--undefined--	726.8219791704379	1379.0831237045	2927.5810071072156	4351.901703692557
S1_Male_sentence_06.wav	0.025	0.030000000000000002	--undefined--	-200	29.71919487963985	790.2271280076704	1421.7392302529233	2916.3651747675776	4332.1451930425355
S1_Male_sentence_06.wav	0.030000000000000002	0.035	--undefined--	-200	29.812981332404124	873.6898286590969	1483.4954812817255	2882.596098404181	4304.505908089461
S1_Male_sentence_06.wav	0.035	0.04	--undefined--	-200	30.099803979207465	830.584987947295	1477.6443676023823	2816.4977196681425	4311.71427982878
S1_Male_sentence_06.wav	0.04	0.045	--undefined--	-200	29.63568912002851	1100.3855326052249	2134.5534528732865	3549.6886940831387	4351.133996091126
S1_Male_sentence_06.wav	0.045	0.049999999999999996	--undefined--	-200	28.735410303750612	1088.4351021189057	2238.1611902597897	3612.769488942782	4554.368883392859
S1_Male_sentence_06.wav	0.049999999999999996	0.05499999999999999	--undefined--	-200	28.3474421913984	968.8913304183875	1889.7736780093212	3385.2379300707826	4616.722969090378
S1_Male_sentence_06.wav	0.05499999999999999	0.05999999999999999	--undefined--	-200	28.11911155227938	856.7206369738159	1398.1214169445368	3116.4413604428487	4501.40541627373
S1_Male_sentence_06.wav	0.05999999999999999	0.06499999999999999	--undefined--	-200	27.987272964183685	809.5411914655986	1275.372600798761	2930.5580107028854	4432.716680567262
S1_Male_sentence_06.wav	0.06499999999999999	0.06999999999999999	--undefined--	-200	27.7714397669015	715.949004664326	1391.1742054026918	2963.3080831756756	4380.041156732616
S1_Male_sentence_06.wav	0.06999999999999999	0.075	--undefined--	-200	27.57152742905502	724.4699231493813	1428.9322097766014	2835.737832212603	4061.0025033902757
S1_Male_sentence_06.wav	0.075	0.08	--undefined--	-200	27.42509017725026	760.9377315180002	1410.5770524381353	2625.8273144462223	3879.0208223233512
S1_Male_sentence_06.wav	0.08	0.085	--undefined--	-200	28.4279241097489	766.0044563436728	1369.4025475536769	2469.0488135735695	3921.4044237751614
S1_Male_sentence_06.wav	0.085	0.09000000000000001	--undefined--	-200	29.883143891611468	695.6552320037595	1351.8842595898368	2557.392258001743	3967.524152405569
S1_Male_sentence_06.wav	0.09000000000000001	0.09500000000000001	--undefined--	-200	30.905801792970955	1087.3557047736517	2312.8831328438096	2960.7426322378706	4047.9710331099245
S1_Male_sentence_06.wav	0.09500000000000001	0.10000000000000002	--undefined--	-200	31.29800252777407	746.7567705635081	1888.9401409578013	2799.523426114831	4067.3706821011333
S1_Male_sentence_06.wav	0.10000000000000002	0.10500000000000002	--undefined--	-200	31.083003507096656	549.0856460764643	1564.6333170879434	2735.892288791028	3911.426412217124
S1_Male_sentence_06.wav	0.10500000000000002	0.11000000000000003	--undefined--	-200	30.556168429624115	680.6920078501853	1707.3041833797174	2965.9681908865555	3792.48998439447
S1_Male_sentence_06.wav	0.11000000000000003	0.11500000000000003	--undefined--	-200	30.01470422898919	657.5102419738878	1597.7340541493495	3231.188401936508	4238.911563040117
S1_Male_sentence_06.wav	0.11500000000000003	0.12000000000000004	--undefined--	-200	29.647024044895204	621.2674055996181	1581.5774386254282	3019.1477462802272	3881.522227323568
S1_Male_sentence_06.wav	0.12000000000000004	0.12500000000000003	--undefined--	-200	29.498636670479396	546.3870660119096	1612.1658081742512	2789.9701996188633	3637.831528450351
S1_Male_sentence_06.wav	0.12500000000000003	0.13000000000000003	--undefined--	-200	29.27478497664601	803.520491235025	1932.298906422503	3064.7785057643614	4093.068304051759
S1_Male_sentence_06.wav	0.13000000000000003	0.13500000000000004	--undefined--	-200	28.426040115901827	1125.5262669746435	2204.1973927123777	3424.093116039592	4690.31111458677
S1_Male_sentence_06.wav	0.13500000000000004	0.14000000000000004	--undefined--	-200	27.98708999384064	625.9763332908373	1526.99016197326	2534.990738533731	3762.6508824313432
S1_Male_sentence_06.wav	0.14000000000000004	0.14500000000000005	--undefined--	-200	28.03107187649814	726.3900648431986	1551.3358130133458	2464.9389854867995	3580.1978500806495
S1_Male_sentence_06.wav	0.14500000000000005	0.15000000000000005	--undefined--	-200	28.295620849865806	904.0997642641421	2173.9169507403617	3332.2245335169423	4255.442979882156
S1_Male_sentence_06.wav	0.15000000000000005	0.15500000000000005	--undefined--	-200	28.59751826773549	855.5840584133038	2165.8914036703186	3512.8450967741524	4493.227428801621
