name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S1_Male_sentence_08.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_08.wav	0.005	0.01	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_08.wav	0.01	0.015	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_08.wav	0.015	0.02	--undefined--	-200	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_08.wav	0.02	0.025	--undefined--	-200	--undefined--	761.8765381458539	2280.2661976623563	2938.4123592342557	4373.312769451801
S1_Male_sentence_08.wav	0.025	0.030000000000000002	--undefined--	-200	32.03252985445798	800.5269263465638	1973.1026752249734	2921.8787687288223	4352.069651829597
S1_Male_sentence_08.wav	0.030000000000000002	0.035	--undefined--	-200	31.587463986605155	854.4087260803369	1448.5596734984688	2859.2128006418866	4302.496672711185
S1_Male_sentence_08.wav	0.035	0.04	--undefined--	-200	30.22634021598738	840.1956111384793	1186.5662521072359	2710.1078502402884	4231.433127725177
S1_Male_sentence_08.wav	0.04	0.045	--undefined--	-200	30.002197864492572	1086.2462491747553	2550.936504470942	3473.0012872127386	4182.985190400157
S1_Male_sentence_08.wav	0.045	0.049999999999999996	--undefined--	-200	30.20609226913726	837.1009366234729	2138.281855974517	3212.8114705171242	4030.6260149661007
S1_Male_sentence_08.wav	0.049999999999999996	0.05499999999999999	--undefined--	-200	28.87168311662524	623.3176863098574	1683.5532805352868	2839.153342091088	3988.884227717032
S1_Male_sentence_08.wav	0.05499999999999999	0.05999999999999999	--undefined--	-200	28.338634428319928	607.6235839955986	1738.3108606014885	2766.8713536996056	4052.9324312803005
S1_Male_sentence_08.wav	0.05999999999999999	0.06499999999999999	--undefined--	-200	28.843155482197762	594.9690467606097	1703.6334837135385	2929.7663511023275	4004.888104923525
S1_Male_sentence_08.wav	0.06499999999999999	0.06999999999999999	--undefined--	-200	30.32067825827406	656.1075498272922	1820.4305710037695	3148.95792587059	4244.923931399266
S1_Male_sentence_08.wav	0.06999999999999999	0.075	--undefined--	-200	31.641486834076446	793.7411783657608	1956.6355394600362	3390.1831216382557	4490.2209295232915
S1_Male_sentence_08.wav	0.075	0.08	--undefined--	-200	32.191427996618515	927.3242955351375	2046.23887554048	3562.823002040927	4739.215201763911
S1_Male_sentence_08.wav	0.08	0.085	--undefined--	-200	32.05660052109821	923.0394996184018	2079.6373119058258	3456.95975737599	4635.324362677006
S1_Male_sentence_08.wav	0.085	0.09000000000000001	--undefined--	-200	31.321799804405025	597.1745092160173	2102.3189269006843	2750.2255629633396	3482.301698389296
S1_Male_sentence_08.wav	0.09000000000000001	0.09500000000000001	--undefined--	-200	29.867634589480154	1001.2704902997276	2141.5275461020465	3290.27006193587	4435.518595149702
S1_Male_sentence_08.wav	0.09500000000000001	0.10000000000000002	--undefined--	-200	29.364921789119638	917.1978998479852	2021.1589864589023	3229.171904779866	4564.554757707764
S1_Male_sentence_08.wav	0.10000000000000002	0.10500000000000002	--undefined--	-200	29.99731579865351	682.3014358761272	1542.6127704664284	2827.8299815009927	4228.101538714978
S1_Male_sentence_08.wav	0.10500000000000002	0.11000000000000003	--undefined--	-200	31.771446758064698	577.5630886476984	1195.286608987365	2613.245193482269	3901.2822963720187
S1_Male_sentence_08.wav	0.11000000000000003	0.11500000000000003	--undefined--	-200	33.07744663906969	828.3099548988673	2134.8709035767106	3369.065530301969	4172.150600095592
S1_Male_sentence_08.wav	0.11500000000000003	0.12000000000000004	--undefined--	-200	33.042281438494086	624.0942501054147	1835.4822337576463	3061.6081326819412	3812.9136656761557
S1_Male_sentence_08.wav	0.12000000000000004	0.12500000000000003	--undefined--	-200	32.92032945661758	534.9347235396253	1712.7408935512262	2903.9771782227276	3929.650423529623
S1_Male_sentence_08.wav	0.12500000000000003	0.13000000000000003	--undefined--	-200	32.49609773372914	550.1116560979375	1653.9429408010672	2807.3637591637685	4052.2791731796
S1_Male_sentence_08.wav	0.13000000000000003	0.13500000000000004	--undefined--	-200	31.34632904630176	615.4908139737585	1674.107914209278	2696.182134862944	3942.3117694618054
S1_Male_sentence_08.wav	0.13500000000000004	0.14000000000000004	--undefined--	-200	30.77623758775985	634.3516588938508	1911.6234864117162	2507.2545182746503	3587.459813834455
S1_Male_sentence_08.wav	0.14000000000000004	0.14500000000000005	--undefined--	-200	30.938712546829244	640.5274953078505	1990.0439434258546	2152.098342609398	3538.51173333103
S1_Male_sentence_08.wav	0.14500000000000005	0.15000000000000005	--undefined--	-200	31.968395694257843	621.3519859792843	1834.7909449335857	2465.240470173805	3739.1690716982434
S1_Male_sentence_08.wav	0.15000000000000005	0.15500000000000005	--undefined--	-200	32.35480096320753	614.0074890461266	1672.303430956623	2753.6449694274643	3882.4630566519663
S1_Male_sentence_08.wav	0.15500000000000005	0.16000000000000006	--undefined--	-200	31.289172328312524	628.9990771764597	1603.0179192929666	2791.051275563864	3845.726020944785
S1_Male_sentence_08.wav	0.16000000000000006	0.16500000000000006	--undefined--	-200	30.7780076497221	650.7911853212979	1604.5815116608062	2805.0734301920024	3686.6592943003184
