vowel,N,mean_F1,sd_F1,mean_F2,sd_F2,mean_F3,sd_F3
@,141,378.4,99.1,1588.6,230.1,2507.6,275.2
E,122,464.8,112.7,1826.8,205.5,2592.6,296.1
E/,12,228.7,9.8,1630.0,51.9,2736.4,247.7
O,35,515.5,91.7,1153.4,59.9,2241.0,43.6
a,299,539.8,129.5,1504.1,241.8,2492.4,221.1
a~,19,352.6,93.7,1133.4,103.9,2400.4,187.2
e,5,506.8,37.5,2172.2,25.4,2843.0,143.3
i,125,286.9,61.1,2067.4,248.8,3006.1,371.1
o,11,237.9,7.2,1407.2,72.1,2543.7,80.3
u,89,302.7,65.2,1153.3,200.6,2299.6,213.1
y,262,302.8,64.3,1885.4,228.6,2575.0,276.5
