vowel,N,mean_F1,sd_F1,mean_F2,sd_F2,mean_F3,sd_F3
@,161,360.0,76.2,1585.2,214.3,2554.4,218.6
E,77,416.9,44.9,1717.9,147.0,2720.8,359.3
E/,35,304.8,62.8,1883.6,143.3,2676.6,201.5
O,51,464.8,60.3,1208.7,261.6,2548.5,358.2
a,334,493.8,116.9,1419.1,224.0,2729.4,308.6
a~,35,308.0,59.0,1025.6,76.9,2535.8,128.4
e,6,258.3,10.2,1785.7,60.6,2426.7,218.3
i,142,254.3,39.2,2099.1,242.3,3175.4,404.2
o,18,331.1,17.9,1143.2,379.8,2521.5,139.1
u,98,337.0,95.3,1028.0,243.5,2677.5,282.8
y,252,271.9,102.9,1840.1,224.7,2710.3,388.8
