name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S1_Female_sentence_07.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Female_sentence_07.wav	0.005	0.01	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Female_sentence_07.wav	0.01	0.015	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Female_sentence_07.wav	0.015	0.02	--undefined--	-200	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Female_sentence_07.wav	0.02	0.025	--undefined--	-200	--undefined--	486.07819865274	1521.5033448867769	2718.7231653512135	3817.036713287843
S1_Female_sentence_07.wav	0.025	0.030000000000000002	--undefined--	-200	39.51104434769959	605.6881602293546	1614.1880887209084	2739.215759974704	3866.3529044694105
S1_Female_sentence_07.wav	0.030000000000000002	0.035	--undefined--	-200	38.993890875613815	747.7396069376264	1689.7203052344755	2791.196161781822	3957.188742092792
S1_Female_sentence_07.wav	0.035	0.04	--undefined--	-200	37.12756778895397	735.0972088227691	1749.1360015341193	2806.0630612697623	4081.1312454376107
S1_Female_sentence_07.wav	0.04	0.045	--undefined--	-200	35.62397570480457	537.1345439016088	1774.466668863071	2765.387618916184	4149.986915359124
S1_Female_sentence_07.wav	0.045	0.049999999999999996	--undefined--	-200	33.464711130718214	381.02345239905827	1698.0495705083335	2744.837283616672	3922.201913089632
S1_Female_sentence_07.wav	0.049999999999999996	0.05499999999999999	--undefined--	-200	27.6942704137762	922.2653634398926	2075.103317481536	3411.161467937783	4637.647658167287
S1_Female_sentence_07.wav	0.05499999999999999	0.05999999999999999	--undefined--	-200	24.849932386371073	1080.7037344484618	2319.739545626794	3629.0047846779294	4584.33908090281
S1_Female_sentence_07.wav	0.05999999999999999	0.06499999999999999	--undefined--	-200	25.82439495539696	1041.9495796863027	2304.315350075439	3548.9281847145107	4434.630380568792
S1_Female_sentence_07.wav	0.06499999999999999	0.06999999999999999	--undefined--	-200	28.15898588808735	1027.8863337330256	2154.7290448077347	3443.275740389471	4615.926588868493
S1_Female_sentence_07.wav	0.06999999999999999	0.075	--undefined--	-200	29.859541364698885	1206.4295209899342	2404.6306419935618	3681.4603277045035	4908.253732613059
S1_Female_sentence_07.wav	0.075	0.08	--undefined--	-200	29.26962977467748	672.2841113482291	1773.4857599929223	2786.063271896646	4173.246607181068
S1_Female_sentence_07.wav	0.08	0.085	--undefined--	-200	27.77526645080824	559.7085950085341	1995.7292403463023	2526.819483232289	4028.213264021755
S1_Female_sentence_07.wav	0.085	0.09000000000000001	--undefined--	-200	26.195211064170767	584.0303954883386	1923.2286416815887	2505.801177887468	4064.814902203611
S1_Female_sentence_07.wav	0.09000000000000001	0.09500000000000001	--undefined--	-200	26.21075154329833	675.3301196218125	1362.00424022588	2717.162805302779	4154.549205323635
S1_Female_sentence_07.wav	0.09500000000000001	0.10000000000000002	--undefined--	-200	26.621298749818695	1304.7092695522485	2104.0599482705647	4113.434638445334	4887.672600213936
S1_Female_sentence_07.wav	0.10000000000000002	0.10500000000000002	--undefined--	-200	27.01538262925472	1262.5052815089587	2116.848258423531	3681.079673599212	4765.878928729442
S1_Female_sentence_07.wav	0.10500000000000002	0.11000000000000003	--undefined--	-200	25.5901707809394	1218.587863694443	2079.5951233492656	3376.0787890316788	4564.980189014169
S1_Female_sentence_07.wav	0.11000000000000003	0.11500000000000003	--undefined--	-200	24.509253599391442	1169.5474612746307	1974.3353030392489	3211.5048039246467	4420.455384235113
S1_Female_sentence_07.wav	0.11500000000000003	0.12000000000000004	--undefined--	-200	25.15555671808427	1136.0200597303028	1791.1094799706918	3117.5756957281305	4414.732683780629
S1_Female_sentence_07.wav	0.12000000000000004	0.12500000000000003	--undefined--	-200	26.228890710151997	1253.3715760913801	1598.3578761810934	3075.987794248261	4614.0062391279
S1_Female_sentence_07.wav	0.12500000000000003	0.13000000000000003	--undefined--	-200	27.355874557328498	658.0059726626088	1560.3372424066922	2808.746804173604	3921.0252536135845
S1_Female_sentence_07.wav	0.13000000000000003	0.13500000000000004	--undefined--	-200	27.821309815688487	422.04066882654655	1525.3169014135378	2626.2222166036195	3764.111694918127
S1_Female_sentence_07.wav	0.13500000000000004	0.14000000000000004	--undefined--	-200	27.84222735256436	763.5533046795999	1762.7224904755794	2947.2124138941454	4154.355592012584
