begin_time_stamp,end_time_stamp,vowel_name,F0,F1,F2,F3,F4,HNR,intensity,Jitter,Shimmer,CoG,Kurtosis,Skweness
0.8550000000000006,0.8600000000000007,i,180.58069386970226,256.147005178019,2336.8686102601155,3573.396002921942,4324.083190344525,23.3746457550071,57.114273630322394,,,,,
0.8600000000000007,0.8650000000000007,i,179.03084516680835,289.3816855103634,2338.7493607251868,3496.3953501806245,4101.341928799638,13.881761372267695,60.411751780380584,,,,,
0.8650000000000007,0.8700000000000007,i,177.48099646391447,293.33647868739536,2272.8283477196524,3389.6920606665617,3865.550143338472,13.158301472834685,62.47671627284658,,,,,
0.8700000000000007,0.8750000000000007,i,175.93114776102055,292.6239194531559,2245.059538114511,3341.216407861974,3786.326222519226,10.908429190924318,63.63391015981452,,,,,
0.8750000000000007,0.8800000000000007,i,174.38129905812661,291.27978570222155,2220.920276630212,3261.8191778775,3729.765413199759,10.929284767741915,64.10246274025832,,,,,
0.8800000000000007,0.8850000000000007,i,172.92399936369534,301.27127173642305,2240.229655605677,3244.343485380389,3745.8714449832105,12.736942099858439,64.39261677876993,,,,,
0.8850000000000007,0.8900000000000007,i,172.5745657411523,310.55138714978847,2257.692690593054,3230.087087476757,3772.67800513547,13.626499670239912,64.56352244295908,,,,,
0.8900000000000007,0.8950000000000007,i,172.22513211860928,313.3144985611313,2262.396189662647,3161.8616089192847,3764.752400705195,14.358394457489394,64.71935505278863,,,,,
0.8950000000000007,0.9000000000000007,i,171.87569849606624,316.8294970484829,2313.396261960775,2994.0278613593364,3713.7136736267985,16.292726855989944,64.89996065978308,,,,,
0.9000000000000007,0.9050000000000007,i,171.52626487352322,317.35222390521193,1957.851037142187,2611.0941785630675,3676.764998788422,18.705185255408153,65.08716446775767,,,,,
0.9050000000000007,0.9100000000000007,i,171.0791867603151,318.51127402930433,1888.7994459579456,2500.480921514684,3669.6448104179826,19.973698306697433,65.14277370159083,,,,,
0.9100000000000007,0.9150000000000007,i,169.46324665591249,319.89108529705584,2001.889115368152,2564.387100857918,3666.696854733167,21.120907828688104,64.77924543466403,,,,,
0.9150000000000007,0.9200000000000007,i,167.84730655150986,321.9407795347999,2129.3414552996264,2718.1247435292175,3631.817060284566,17.355517340022292,63.792824779312895,,,,,
0.9200000000000007,0.9250000000000007,i,166.2313664471073,327.17645467242573,2065.1599885226715,2966.326676749865,3510.022123535968,12.157741889874425,61.833642116240114,,,,,
0.9250000000000007,0.9300000000000007,i,164.61542634270467,309.90848742372026,2061.185387603707,3097.015822372068,3776.3331781147426,9.156862153980866,59.17546454752079,,,,,
0.9300000000000007,0.9350000000000007,i,163.11812590525392,285.44312604336034,2166.5923918213375,3183.6457098940286,3862.014800034171,6.94541421543211,56.12581693340315,,,,,
0.9350000000000007,0.9400000000000007,i,163.04101206925338,251.94335489457075,2264.4759688074764,3221.4413103632974,4007.1852091026512,6.6817319329627765,53.82672548786103,,,,,
0.9400000000000007,0.9450000000000007,i,162.96389823325285,221.67493543880659,2242.4572601589884,3100.714890749497,4137.567895230756,22.787585124409116,52.377838931250736,,,,,
0.9450000000000007,0.9500000000000007,i,162.88678439725228,235.0782426591004,1998.9650245253035,2510.3414804919244,3518.5727149060895,-115.60266078696239,50.759706686606044,,,,,
0.9500000000000007,0.9550000000000007,i,162.80967056125175,272.29682051155794,2304.0147574208872,2962.6835049690735,3989.573720087811,-210.76844798050482,48.57623315732585,,,,,
0.9550000000000007,0.9600000000000007,i,162.7385020096594,301.5264870583958,2309.51880168923,2951.4203211824665,4064.0328091808497,-200.0,45.33492893697133,,,,,
1.1449999999999976,1.1499999999999975,y,205.04989645513896,327.4355249055052,1877.6742238577715,2608.6289199818284,3663.5313016299983,6.192486561166606,64.88654251166288,,,,,
1.1499999999999975,1.1549999999999974,y,205.04989645513896,372.99464488425724,1873.4974894122327,2574.3830366589996,3654.689232202533,1.7646884503593534,66.42138970869325,,,,,
1.1549999999999974,1.1599999999999973,y,205.00804988324103,401.06649430389007,1876.0538289232059,2596.4772269995997,3647.576329564086,1.0501306539649076,67.13128271057165,,,,,
1.1599999999999973,1.1649999999999971,y,204.46527523009055,410.91667820251905,1882.7541271459675,2679.3821447567034,3640.8326396832526,3.877023804029508,67.49382586971906,,,,,
1.1649999999999971,1.169999999999997,y,203.92250057694008,407.8889571090492,1886.3586147210074,2772.107774203061,3632.740788098486,7.813920745814669,67.5515850737107,,,,,
1.169999999999997,1.174999999999997,y,203.3797259237896,404.072103082626,1871.8842804084325,2727.62111852538,3616.9046967980207,10.134110389388514,67.37054097576625,,,,,
1.174999999999997,1.1799999999999968,y,202.83695127063913,401.13808889751,1854.6690701744837,2720.5958766260637,3581.5370560259094,13.190112428495862,67.01293570954594,,,,,
1.1799999999999968,1.1849999999999967,y,202.31212346220144,399.34078536353707,1842.0913171191721,2759.965993899578,3577.016044044401,15.180972858620795,66.526144412853,,,,,
1.1849999999999967,1.1899999999999966,y,202.00212994194516,397.6365570107403,1846.829088601301,2747.526780175611,3569.993811337776,17.322823884153117,66.07784218381592,,,,,
1.1899999999999966,1.1949999999999965,y,201.69213642168884,394.69833847305375,1887.4028799676285,2657.856897525225,3561.8286984691113,20.025818594320995,65.70046225892254,,,,,
1.1949999999999965,1.1999999999999964,y,201.38214290143256,388.66041488166707,1996.3053768285536,2601.5321899793485,3625.738669792053,20.632401771402975,65.43426941460235,,,,,
1.1999999999999964,1.2049999999999963,y,201.07214938117627,372.6257224882877,2083.316757251344,2260.929308771626,3751.329376424602,20.16487587463443,65.29547012831972,,,,,
1.2049999999999963,1.2099999999999962,y,200.76568699996864,366.520505146818,2007.7848943158292,2158.373110309261,3761.0466595041116,20.092819775431167,65.23628879381853,,,,,
1.4249999999999916,1.4299999999999915,a,177.73992817433827,424.665415231446,1636.416537607517,2657.1480526789805,3903.0959498542,3.0508450274148107,64.60373552593673,,,,,
1.4299999999999915,1.4349999999999914,a,170.1162667170857,457.9093057837787,1645.358991824494,2601.4283668952976,3878.9411634760413,0.42701628570290673,65.7175977555142,,,,,
1.4349999999999914,1.4399999999999913,a,170.4030367860698,472.7102850616343,1633.7859209358905,2558.7088058624918,3885.3231426871685,3.0505864119596398,65.98275155223229,,,,,
1.4399999999999913,1.4449999999999912,a,170.6898068550539,474.48949000163253,1622.7191435943105,2546.8138849250454,3911.1745149364137,9.128209171509274,65.73720077530231,,,,,
1.4449999999999912,1.449999999999991,a,170.976576924038,469.91126675438403,1639.6955720616456,2550.3108341323114,3850.477088581,15.658000150119557,65.127309151037,,,,,
1.449999999999991,1.454999999999991,a,171.2633469930221,464.39911979457906,1658.749823793423,2531.77905735508,3813.6880808708033,19.35663542673988,64.38866401296792,,,,,
