name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S1_Male_sentence_01.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_01.wav	0.005	0.01	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_01.wav	0.01	0.015	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_01.wav	0.015	0.02	--undefined--	-200	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_01.wav	0.02	0.025	--undefined--	-200	--undefined--	873.5472946531322	1298.7882241683676	2809.035895318381	3694.2272255231283
S1_Male_sentence_01.wav	0.025	0.030000000000000002	--undefined--	-200	26.808395712832315	851.7305753261851	1393.314727543327	2723.202086764321	3759.0667492759453
S1_Male_sentence_01.wav	0.030000000000000002	0.035	--undefined--	-200	26.223598440735664	791.3024914492089	1600.6531322591602	2624.3600653858484	3919.7008818305794
S1_Male_sentence_01.wav	0.035	0.04	--undefined--	-200	25.03513946841027	680.4914879665109	1855.6981891228336	2762.2153521771597	4170.710852321937
S1_Male_sentence_01.wav	0.04	0.045	--undefined--	-200	24.204953705283817	709.1450390250184	1895.9697865145533	2777.097391635763	4201.192313757573
S1_Male_sentence_01.wav	0.045	0.049999999999999996	--undefined--	-200	24.25664995990778	828.3452471338413	1596.0191735929627	2692.528199506135	4023.3625827503306
S1_Male_sentence_01.wav	0.049999999999999996	0.05499999999999999	--undefined--	-200	25.52569064928493	1016.8702765752035	1729.375805861403	2967.118735252751	4026.194098431063
S1_Male_sentence_01.wav	0.05499999999999999	0.05999999999999999	--undefined--	-200	27.093987727871436	1194.4054846213548	2278.640548389004	3487.1090342975303	4185.752266701441
S1_Male_sentence_01.wav	0.05999999999999999	0.06499999999999999	--undefined--	-200	28.461325511121768	1213.935021334034	2349.3589965868846	3503.9975053978974	4020.069610654124
S1_Male_sentence_01.wav	0.06499999999999999	0.06999999999999999	--undefined--	-200	28.573164736449808	704.39942015216	1864.330460957379	3044.5979749391086	4005.81967089838
S1_Male_sentence_01.wav	0.06999999999999999	0.075	--undefined--	-200	28.752066665603724	508.03144704372335	1634.833238833173	2874.9099427470155	3961.4438770825254
S1_Male_sentence_01.wav	0.075	0.08	--undefined--	-200	29.12783586668975	501.16053248562594	1545.323797592801	2861.120220357627	3986.033334387137
S1_Male_sentence_01.wav	0.08	0.085	--undefined--	-200	29.20734439509814	598.0448371706543	1564.2195602846007	2864.6310331005798	4036.566291571112
S1_Male_sentence_01.wav	0.085	0.09000000000000001	--undefined--	-200	28.811557065495784	763.9099468340271	1762.1642714799498	2748.1898170194177	3910.219276205886
S1_Male_sentence_01.wav	0.09000000000000001	0.09500000000000001	--undefined--	-200	27.7458200642765	998.0958544036679	2313.6318668264885	3616.7653693841153	--undefined--
S1_Male_sentence_01.wav	0.09500000000000001	0.10000000000000002	--undefined--	-200	27.441785585183958	1170.7539861742948	2533.1249430115736	3857.1638008160576	--undefined--
S1_Male_sentence_01.wav	0.10000000000000002	0.10500000000000002	--undefined--	-200	27.520463246738682	967.2528662874901	2147.061672910545	3479.121382058077	--undefined--
S1_Male_sentence_01.wav	0.10500000000000002	0.11000000000000003	--undefined--	-200	27.314947898087013	555.5906183259486	1493.6338836551097	2879.1770257474695	4192.359072719304
S1_Male_sentence_01.wav	0.11000000000000003	0.11500000000000003	--undefined--	-200	27.243434287331528	638.2101602935201	1584.1560760353366	2868.725301777982	4055.9705597505204
S1_Male_sentence_01.wav	0.11500000000000003	0.12000000000000004	--undefined--	-200	27.486394206083567	630.0630484821638	1619.4087276352031	2848.3250730274176	3905.934616991057
